Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),102120806420W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10000.65649,0.955,579786.913,144.628,553696.5019,16841.60193,174.2875,17015.88943,3727274.098,0.2,2.6,2.606562191,,
Bakken (SK),102130806420W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10032.80872,1.134,213219.545,243.046,241790.964,7354.475156,206.955,7561.430156,3727274.098,0.2,2.9,2.93021306,,
Bakken (SK),102120906420W500,,Dduvernay,AB,KAYBOB,1558141.528,0.0174,0,1.2135,0.5,,0.5,9934.711604,10.922,99941.893,0,1091565.355,33201.77956,1993.265,35195.04456,3727274.098,0.3,2.9,3.043218653,,
Bakken (SK),102130906420W500,,Dduvernay,AB,KAYBOB,1314055.559,0.0433,0,1.2131,0.417,,0.417,9911.41764,13.073,93441.639,0,1221562.547,30987.9879,1989.775965,32977.76387,3727274.098,0.3,2.9,3.132245968,,
Bakken (SK),100041506420W500,,Dduvernay,AB,KAYBOB,1280149.882,0.0479,0,1.2131,0.417,,0.417,9863.189292,10.426,99346.273,0,1035784.242,26275.25677,1586.88933,27862.1461,3727274.098,0.2,2.9,3.054723566,,
Bakken (SK),100111506420W500,,Dduvernay,AB,KAYBOB,1247952.787,0.0525,0,1.213,0.417,,0.417,9834.3179,23.504,53751.495,0,1263375.138,32048.66883,3577.42632,35626.09515,3727274.098,0.3,3,3.387610354,,
Bakken (SK),102011706420W500,,Dduvernay,AB,KAYBOB,1217338.299,0.0571,0,1.213,0.417,,0.417,9972.769348,5.48,195863.839,0,1073333.838,27227.79613,834.0834,28061.87953,3727274.098,0.2,1.9,2.001343745,,
Bakken (SK),100162206420W500,,Dduvernay,AB,KAYBOB,1215810.593,0.0573,0,1.2129,0.25,,0.25,9756.233908,3.026,416812.993,0,1261276.117,19181.90761,276.1225,19458.03011,3727274.098,0.2,2.7,2.762833213,,
Bakken (SK),100142306420W500,,Dduvernay,AB,KAYBOB,1212767.052,0.0576,0,1.2128,0.25,,0.25,9668.963564,4.15,321983.372,0,1336230.994,20321.84636,378.6875,20700.53386,3727274.098,0.2,2.7,2.763961687,,
Bakken (SK),100162306420W500,,Dduvernay,AB,KAYBOB,1514700.826,0.0202,0,1.2134,0.5,,0.5,9651.903196,16.929,75350.621,0,1275610.663,38799.82433,3089.5425,41889.36683,3727274.098,0.3,2.8,3.037890889,,
Bakken (SK),100123606420W500,,Dduvernay,AB,KAYBOB,2944.23901,70.0316,0,0.001,0.083,,0.083,9554.790332,2.833,264584.478,0,749567.8262,3784.692882,85.825735,3870.518617,3727274.098,0.7,168.4,172.2473254,,
Bakken (SK),102120506520W500,,Dduvernay,AB,KAYBOB SOUTH,3780.137868,37.9531,0,0.001,0.083,,0.083,9839.23916,24.008,357.866,9.039,8591.646928,43.38065728,727.32236,770.7030173,3727274.098,1.5,8.2,145.9861283,,
Bakken (SK),102161505919W500,,Dduvernay,AB,KAYBOB SOUTH,3971663.889,0,0.0008,0.001,0.5,,0.5,10821.85074,0.293,7943385.224,0,2327411.871,70792.11107,53.4725,70845.58357,3727274.098,0.3,2.1,2.09898082,,
Bakken (SK),102061905919W500,,Dduvernay,AB,KAYBOB SOUTH,11346356.87,0.2624,0.0003,1.4869,0.5,,0.5,11291.99511,0.445,1690135.238,26.822,752110.1809,22876.68467,81.2125,22957.89717,3727274.098,0.2,3.5,3.50951555,,
Bakken (SK),100161006018W500,,Dduvernay,AB,KAYBOB SOUTH,139750.9728,0,0,2.4651,0.5,,0.5,9931.758848,1.568,178236.847,0,279475.3761,8500.709356,286.16,8786.869356,3727274.098,0.3,4.5,4.665209673,,
Bakken (SK),100131106018W500,,Dduvernay,AB,KAYBOB SOUTH,139750.9728,0,0,2.4651,0.5,,0.5,9906.168296,1.217,179413.782,0,218346.5727,6641.374919,222.1025,6863.477419,3727274.098,0.3,4.5,4.603396448,,
Bakken (SK),100161306018W500,,Dduvernay,AB,KAYBOB SOUTH,427854.0251,0,0,2.0299,0.5,,0.5,10233.92421,0.414,443088.155,0,183438.4962,5579.587592,75.555,5655.142592,3727274.098,0.3,3.6,3.677527412,,
Bakken (SK),100012406018W500,,Dduvernay,AB,KAYBOB SOUTH,427854.0251,0,0,2.0299,0.5,,0.5,10222.44127,0.451,506988.541,0,228651.832,6954.826556,82.3075,7037.134056,3727274.098,0.2,3.6,3.609054323,,
Bakken (SK),100112506018W500,,Dduvernay,AB,KAYBOB SOUTH,148605.1436,0,0,12.2462,0.5,,0.5,10029.52788,0.693,297212.437,8.149,205968.2188,6264.866656,126.4725,6391.339156,3727274.098,0.3,10.1,10.28674623,,
Bakken (SK),100122606018W500,,Dduvernay,AB,KAYBOB SOUTH,427854.0251,0,0,2.0299,0.5,,0.5,10257.87434,0.538,527487.613,0,283788.3358,8631.895214,98.185,8730.080214,3727274.098,0.2,3.4,3.447358244,,
Bakken (SK),100132606018W500,,Dduvernay,AB,KAYBOB SOUTH,427854.0251,0,0,2.0299,0.5,,0.5,10254.92159,0.407,640829.518,0,260817.6138,7933.202421,74.2775,8007.479921,3727274.098,0.2,3.4,3.39365859,,
Bakken (SK),100052806018W500,,Dduvernay,AB,KAYBOB SOUTH,4917721.088,0.0117,0.0035,0.001,0.417,,0.417,10298.22868,0.455,2280817.229,0,1037771.839,26325.67713,69.253275,26394.93041,3727274.098,0.2,2.1,2.09445069,,
Bakken (SK),102062806018W500,,Dduvernay,AB,KAYBOB SOUTH,2643066.21,0.0234,0.0031,0.001,0.417,,0.417,10276.24705,0.84,1065591.047,0,895096.4795,22706.35994,127.8522,22834.21214,3727274.098,0.2,2.13,2.146130857,,
Bakken (SK),100050306019W500,,Dduvernay,AB,KAYBOB SOUTH,164970.0578,0.0141,0.0068,3.4118,0.5,,0.5,10774.60664,38.121,12440.416,0,474241.0983,14424.83341,6957.0825,21381.91591,3727274.098,0.6,4.68,6.940090199,,
Bakken (SK),100130306019W500,,Dduvernay,AB,KAYBOB SOUTH,164970.0578,0.0141,0.0068,3.4118,0.5,,0.5,10712.92685,17.804,29880.588,0,531993.9888,16181.48382,3249.23,19430.71382,3727274.098,0.4,4.23,5.076157716,,
