Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),100082006319W500,,Dduvernay,AB,KAYBOB,515163.1536,0,0,0.9259,0.5,,0.5,9775.26278,0.214,2747276.364,0,587917.1419,17882.47973,39.055,17921.53473,4709281.158,0.2,2.6,2.605678351,,
Bakken (SK),102082006319W500,,Dduvernay,AB,KAYBOB,437931.1788,0,0,0.9228,0.5,,0.5,9784.121048,0.314,815232.435,0,255982.9846,7786.149115,57.305,7843.454115,4709281.158,0.2,2.5,2.51839966,,
Bakken (SK),1W0122006319W500,,Dduvernay,AB,KAYBOB,417406.7487,0,0,0.9218,0.5,,0.5,9749.344144,0.286,1662607.959,0,475505.8763,14463.30374,52.195,14515.49874,4709281.158,0.2,2.6,2.609382849,,
Bakken (SK),1W0132006319W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9883.858584,1.01,547915.406,40.437,553394.5601,16832.41787,184.325,17016.74287,4709281.158,0.2,2.8,2.830661668,,
Bakken (SK),100060906320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9774.606612,0.999,610058.964,44.983,609448.905,18537.40419,182.3175,18719.72169,4709281.158,0.2,2.8,2.827538322,,
Bakken (SK),102051106320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10016.07644,0.19,10815417.35,0,2054929.296,62504.09942,34.675,62538.77442,4709281.158,0.2,2.8,2.801553338,,
Bakken (SK),103051106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10212.59875,0.376,1408912.42,36.596,529751.0699,16113.26171,68.62,16181.88171,4709281.158,0.2,2.7,2.711498231,,
Bakken (SK),102061106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10210.95833,0.948,276097.047,9.844,261740.0006,7961.258352,173.01,8134.268352,4709281.158,0.2,2.8,2.86084817,,
Bakken (SK),103071106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10196.19455,0.01,23233353.16,1654,232333.5316,7066.811586,1.825,7068.636586,4709281.158,0.2,2.8,2.800723098,,
Bakken (SK),100051206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10181.75886,0.638,450597.095,15.016,287480.9466,8744.212126,116.435,8860.647126,4709281.158,0.2,2.8,2.837283862,,
Bakken (SK),103101206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10054.79035,0.186,3011419.042,0,560123.9418,17037.10323,33.945,17071.04823,4709281.158,0.2,2.5,2.50498104,,
Bakken (SK),104111206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10033.79297,0.107,4102666.988,0,438985.3677,13352.4716,19.5275,13371.9991,4709281.158,0.3,3.4,3.404972375,,
Bakken (SK),102121206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10045.93208,0.19,1992378.196,0,378551.8572,11514.28566,34.675,11548.96066,4709281.158,0.2,2.7,2.708130986,,
Bakken (SK),100141206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10112.86122,0.869,833527.982,0,724335.8164,22031.88108,158.5925,22190.47358,4709281.158,0.2,2.7,2.71943546,,
Bakken (SK),100051306320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10031.49638,0.214,2721738.838,0,582452.1113,17716.25172,39.055,17755.30672,4709281.158,0.2,2.5,2.505511183,,
Bakken (SK),100121306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9917.651236,0.931,681512.525,0,634488.1608,19299.01489,169.9075,19468.92239,4709281.158,0.2,2.8,2.824651051,,
Bakken (SK),100141406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9928.149924,1.32,528845.695,0,698076.3174,21233.15465,240.9,21474.05465,4709281.158,0.2,2.8,2.8317673,,
Bakken (SK),100151406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10005.57775,0.148,5529499.926,661.698,818365.989,24891.9655,27.01,24918.9755,4709281.158,0.2,2.8,2.803038249,,
Bakken (SK),102051606320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9954.396644,1.179,543864.259,58.067,641215.9614,19503.65216,215.1675,19718.81966,4709281.158,0.2,2.8,2.830890061,,
Bakken (SK),102071606320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10069.22604,0.227,1345725.551,0,305479.7001,9291.674211,41.4275,9333.101711,4709281.158,0.2,2.8,2.812483972,,
